ID,Start time,Completion time,Email,Name,Last modified time,How would you primarily describe your professional role?,How many years of experience do you have in game development?,Which game engine(s) do you primarily work with? (Select all that apply),Houdini,Unreal Engine PCG tools,Blender Geometry Nodes,Plugins/Tools that use Wave Function Collapse,Plugins/Tools that use other methods,Custom code-based PCG solutions,"If you use procedural generation, what aspects do you currently use it for? (Select all that apply)",How frequently do you incorporate procedural level generation (not just world building) in your design workflow?,What are your primary concerns when considering procedural level generation? (Select up to 3),"Which statement best describes your view on procedural level generation tools?
",What do you consider the most critical factor when evaluating a new design tool? (Select up to 3),"If using a node-based tool for creating a procedural level generator, which features would be most important to you? (Rank top 3)",How important is real-time feedback when configuring a procedural level generator?,Which approach to creating procedural generators would you prefer?,What level of integration would you prefer for a PCG level generation tool?,Action/Adventure,First-person Shooters,Platformers,Racing games,Puzzle games,RPGs,Strategy games,Roguelikes / Roguelites,"How are levels typically represented and stored in your projects, especially when procedurally generated? (Select all that apply)",Which of these approaches to level generation would be most useful to your workflow? (Select one),What role would you prefer AI to play in your procedural level generation workflow? (Select up to 2),"When considering AI-assisted procedural level design, which is most important to you? (Select up to 2)",What concerns you most about using AI in procedural level generation? (Select up to 2),Which problems do you wish a procedural level generation tool could solve for you?,What is the single most important problem you would want a procedural level generation tool to solve in your workflow?
93,5/26/25 9:30:53,5/26/25 9:44:20,anonymous,,,Programmer/Technical Designer,0-2 years,Unreal Engine;Custom in-house engine;,No Experience,Limited Experience,No Experience,Limited Experience,Limited Experience,Limited Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Rarely (a few projects),Unpredictable results affecting game balance;Unclear design methodology for procedural systems;,"""I'm satisfied with the current PCG tools available""","Integration with existing workflows;Reliability (predictable, stable results);Flexibility (ability to adapt to various use cases);","Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Runtime vs. offline generation options;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;Visual previews of generation steps;Limited or no programming required;",Somewhat important,Building generators from programming primitives (maximum flexibility),Standalone application that exports to game engines,Somewhat Interested,Somewhat Interested,Somewhat Interested,Interested,Very Interested,Interested,Interested,Very Interested,Free-form geometry;,Balanced approach (iterative refinement between mission and space),Suggestion-based (AI proposes level designs for you to select and modify);,Consistency with existing game assets and style;Maintaining creative control over the final output;,Loss of designer agency/control;Unpredictable or inconsistent results;,Ability to create more content variations with consistent quality;Reduced technical barriers to procedural generation;Better integration with existing workflows;,
94,5/26/25 11:46:04,5/26/25 11:54:03,anonymous,,,Technical Artist,0-2 years,Unreal Engine;,Moderate Experience,Limited Experience,Limited Experience,No Experience,Moderate Experience,No Experience,"World building (terrain, vegetation, etc.);",Often (most projects),Lack of precise artistic control;Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;,"""Existing PCG tools are too limited in what they can generate""",Feature completeness (comprehensive capabilities);Flexibility (ability to adapt to various use cases);Documentation and learning resources;,"Control over generation constraints and rules;Easy debugging of unexpected results;Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Runtime vs. offline generation options;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Limited or no programming required;Support for mission/gameplay integration;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Very Interested,Interested,Very Interested,Very Interested,Not Interested,Somewhat Interested,Not Interested,Interested,Node-based graphs (mission/flow graphs);,Not sure/would need to experiment,I prefer traditional rule-based PCG without AI involvement;,Maintaining creative control over the final output;Consistency with existing game assets and style;,Loss of designer agency/control;Intellectual property/ownership concerns;,,
95,5/26/25 11:47:24,5/26/25 12:03:24,anonymous,,,Game Designer,10+ years,Unity;,No Experience,No Experience,No Experience,No Experience,Limited Experience,Moderate Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Mission/quest generation;Enemy/NPC placement;",Sometimes (about half of projects),I don't have any concerns about the system - it's usually a lack of content that results in poor experiences.;,"""PCG tools don't give me enough control over the final output""","New tools don't have to feel similar to existing ones, but they should feel intuitive, and let you accomplish what you want. Doesn't have to be simple, but logical and robuust.;Reliability (predictable, stable results);Flexibility (ability to adapt to various use cases);","Ability to mix procedural and hand-crafted content;Support for mission/gameplay integration;Visual previews of generation steps;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Easy debugging of unexpected results;Limited or no programming required;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Interested,Interested,Interested,Somewhat Interested,Somewhat Interested,Very Interested,Interested,Very Interested,Navigation mesh;Free-form geometry;Scene graph/hierarchical structure;Rectangular grid/tile-based;,Mission-driven generation (gameplay goals determine level structure),I prefer traditional rule-based PCG without AI involvement;Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Understanding how the AI makes its decisions;,"Intellectual property/ownership concerns;Not just if what I am making with AI is really mine, but also: what is AI basing its suggestions on? Work of others? If so, that would be 100% reason not to use the tool.;","Ability to create more content variations with consistent quality;Improved iteration speed on level designs;I would once again like to mention that without enough content, generation falls flat.;","Testing viability by running analytics. Combining elements into a level isn't what I'd use an of-the-shelf solution for. But something that could help test if a level is good, or at least works, that would be awesome."
96,5/26/25 12:33:39,5/26/25 13:01:14,anonymous,,,Programmer/Technical Designer,6-10 years,Unity;GameMaker;Godot;,Limited Experience,No Experience,No Experience,Moderate Experience,Limited Experience,Moderate Experience,"Level layout/structure generation;World building (terrain, vegetation, etc.);",Sometimes (about half of projects),Time investment to set up compared to potential benefits;Integration with existing workflows;Difficulty in debugging unexpected outputs;,"""PCG tools don't give me enough control over the final output""",Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Integration with existing workflows;,"Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Support for mission/gameplay integration;Limited or no programming required;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Easy debugging of unexpected results;Visual previews of generation steps;Runtime vs. offline generation options;",Essential,Mixed-initiative (not as well-known term) approach where the tool learns from my examples,"Core plugin that works across engines, with deep UI integrations for particular engines",Interested,Very Interested,Interested,Somewhat Interested,Very Interested,Very Interested,Somewhat Interested,Very Interested,Rectangular grid/tile-based;Voxel-based;Constraint-based representations (is this a known term);Drawn zones (mix of free-form and constraints);,Space-driven generation (spatial layout determines gameplay possibilities),Assistant-based (AI helps implement your design intentions);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Consistency with existing game assets and style;,Loss of designer agency/control;Difficulty integrating with existing tools/workflows;,Ability to create more content variations with consistent quality;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,"I have artistic vision, but not necessarily the artistic/practical skills to implement that vision. I do have extensive programming and some design skills. So I can build a game, but I will struggle to make it look eye-catching unless I simplify the art style a lot. I would love a proc-gen tool that can cleverly add detail and decorate a basic block-out (in e.g. a 3D first-person shooter) such that it looks like a fully fledged level. So input: basic (BSP) geometry, perhaps with some mark-up that indicates design/semantic intentions - output: level that is decorated with details such as slants, trims, pipes, walls with depth, bridges that start and end properly, other procedural geometry, etc. That way, I can stay in control over the overall design of the level, and have the artistic details be figured out by a tool, much like an art director making a request. That way, I do not need to be dependent on finding a (specific) artist to fully implement my vision, or at the very least I can get something very decent looking already, which also helps with inspiration and motivation."
98,5/26/25 14:05:07,5/26/25 14:15:56,anonymous,,,Programmer/Technical Designer,6-10 years,Unity;,No Experience,No Experience,No Experience,Limited Experience,Limited Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Mission/quest generation;Enemy/NPC placement;Puzzle generation;",Often (most projects),Unpredictable results affecting game balance;Difficulty in debugging unexpected outputs;Lack of precise artistic control;,"""PCG tools don't give me enough control over the final output""",Integration with existing workflows;Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);,"Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Easy debugging of unexpected results;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Interested,Interested,Very Interested,Very Interested,Rectangular grid/tile-based;Free-form geometry;Scene graph/hierarchical structure;,Mission-driven generation (gameplay goals determine level structure),Assistant-based (AI helps implement your design intentions);Suggestion-based (AI proposes level designs for you to select and modify);,Maintaining creative control over the final output;Learning from my design preferences over time;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Ability to create more content variations with consistent quality;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,"Reduce time on complex / boring stuff. Increase agency of level designer by suggesting content. Example: Create a world procedurally, create content more hand tailored."
99,5/26/25 14:33:43,5/26/25 14:38:45,anonymous,,,Programmer/Technical Designer,10+ years,Unity;,No Experience,No Experience,No Experience,Limited Experience,Extensive Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Mission/quest generation;Enemy/NPC placement;",Often (most projects),Lack of precise artistic control;Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;,"""PCG tools don't give me enough control over the final output""",Simplicity (low barrier to entry);Flexibility (ability to adapt to various use cases);Documentation and learning resources;,"Limited or no programming required;Runtime vs. offline generation options;Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Visual previews of generation steps;Easy debugging of unexpected results;Support for mission/gameplay integration;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Interested,Interested,Somewhat Interested,Interested,Somewhat Interested,Interested,Interested,Very Interested,Free-form geometry;,Context-dependent (different approaches for different game sections),Assistant-based (AI helps implement your design intentions);,Novelty/uniqueness of the generated content;Maintaining creative control over the final output;,"Intellectual property/ownership concerns;Potential ""black box"" nature (lack of transparency);",Reduced technical barriers to procedural generation;Better integration with existing workflows;Improved iteration speed on level designs;,
100,5/26/25 15:44:32,5/26/25 15:56:27,anonymous,,,Academic/Researcher,6-10 years,Unreal Engine;,Extensive Experience,No Experience,No Experience,Limited Experience,Limited Experience,No Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Often (most projects),Integration with existing workflows;Time investment to set up compared to potential benefits;Lack of precise artistic control;,"""I'm satisfied with the current PCG tools available""","Reliability (predictable, stable results);Integration with existing workflows;Documentation and learning resources;","Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Visual previews of generation steps;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Interested,Interested,Interested,Very Interested,Interested,Very Interested,Interested,Very Interested,Voxel-based;Rectangular grid/tile-based;,Balanced approach (iterative refinement between mission and space),Suggestion-based (AI proposes level designs for you to select and modify);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Consistency with existing game assets and style;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Improved iteration speed on level designs;Time savings compared to manual design;Ability to create more content variations with consistent quality;,Creating a large foundation for artists to manually tweak and iterate with.
101,5/26/25 15:59:48,5/26/25 16:05:23,anonymous,,,Programmer/Technical Designer,6-10 years,Godot;Custom in-house engine;,No Experience,No Experience,Limited Experience,No Experience,No Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Mission/quest generation;",Sometimes (about half of projects),Lack of precise artistic control;Unpredictable results affecting game balance;,"""PCG tools are too complex to integrate into my workflow""","Integration with existing workflows;Simplicity (low barrier to entry);Reliability (predictable, stable results);","Control over generation constraints and rules;Visual previews of generation steps;Support for mission/gameplay integration;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Runtime vs. offline generation options;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Limited or no programming required;",Somewhat important,Building generators from programming primitives (maximum flexibility),Standalone application that exports to game engines,Not Interested,Not Interested,Not Interested,Not Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Very Interested,Rectangular grid/tile-based;Scene graph/hierarchical structure;,Space-driven generation (spatial layout determines gameplay possibilities),I prefer traditional rule-based PCG without AI involvement;,Consistency with existing game assets and style;,Intellectual property/ownership concerns;Loss of designer agency/control;,Improved iteration speed on level designs;Better integration with existing workflows;Ability to create more content variations with consistent quality;,Quick iteration on the algorithms themselves
102,5/26/25 17:08:49,5/26/25 17:16:24,anonymous,,,Technical Artist,10+ years,Unreal Engine;,Extensive Experience,Limited Experience,No Experience,Limited Experience,Limited Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Enemy/NPC placement;",Often (most projects),Lack of precise artistic control;Difficulty in debugging unexpected outputs;Unpredictable results affecting game balance;,"""PCG tools don't give me enough control over the final output""","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Feature completeness (comprehensive capabilities);","Ability to mix procedural and hand-crafted content;Support for mission/gameplay integration;Easy debugging of unexpected results;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Runtime vs. offline generation options;Limited or no programming required;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Somewhat Interested,Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Free-form geometry;,Context-dependent (different approaches for different game sections),Suggestion-based (AI proposes level designs for you to select and modify);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Consistency with existing game assets and style;,Loss of designer agency/control;Unpredictable or inconsistent results;,Time savings compared to manual design;Ability to create more content variations with consistent quality;Improved iteration speed on level designs;,Creating bigger worlds with less work (fewer people).
103,5/26/25 18:24:15,5/26/25 18:30:18,anonymous,,,Programmer/Technical Designer,10+ years,Godot;Custom in-house engine;,No Experience,No Experience,Limited Experience,No Experience,No Experience,No Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Mission/quest generation;",Rarely (a few projects),Lack of precise artistic control;Technical complexity/steep learning curve;Integration with existing workflows;,"""Existing PCG tools are too limited in what they can generate""",Simplicity (low barrier to entry);Flexibility (ability to adapt to various use cases);Documentation and learning resources;,"Visual previews of generation steps;Support for mission/gameplay integration;Ability to mix procedural and hand-crafted content;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Easy debugging of unexpected results;Runtime vs. offline generation options;Limited or no programming required;",Somewhat important,"Using templates with limited parameters to adjust (simpler, less flexible)",Standalone application that exports to game engines,Interested,Very Interested,Not Interested,Somewhat Interested,Somewhat Interested,Not Interested,Not Interested,Not Interested,Navigation mesh;Rectangular grid/tile-based;,Balanced approach (iterative refinement between mission and space),Full automation (AI generates complete levels with minimal input);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Novelty/uniqueness of the generated content;,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Time savings compared to manual design;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,Tool simplicity combined with output variation
104,5/26/25 18:33:05,5/26/25 18:44:17,anonymous,,,Technical Artist,3-5 years,Unreal Engine;,Extensive Experience,Limited Experience,Limited Experience,Limited Experience,No Experience,No Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Often (most projects),Time investment to set up compared to potential benefits;Unpredictable results affecting game balance;,"""I'm satisfied with the current PCG tools available""",Integration with existing workflows;Documentation and learning resources;Familiarity (resemblance to tools you already know);,"Visual previews of generation steps;Easy debugging of unexpected results;Ability to mix procedural and hand-crafted content;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Interested,Very Interested,Interested,Very Interested,Somewhat Interested,Interested,Interested,Very Interested,Free-form geometry;Voxel-based;Node-based graphs (mission/flow graphs);,Context-dependent (different approaches for different game sections),I have no opinion/not sure;,Understanding how the AI makes its decisions;,Unpredictable or inconsistent results;Intellectual property/ownership concerns;,Time savings compared to manual design;Improved iteration speed on level designs;Learning resources and examples for different game genres;,-
105,5/26/25 19:45:27,5/26/25 19:54:46,anonymous,,,Technical Artist,10+ years,Unity;,No Experience,No Experience,No Experience,No Experience,Limited Experience,Limited Experience,"World building (terrain, vegetation, etc.);",Rarely (a few projects),Technical complexity/steep learning curve;Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;,"""PCG tools are too complex to integrate into my workflow""","Simplicity (low barrier to entry);Reliability (predictable, stable results);Flexibility (ability to adapt to various use cases);","Control over generation constraints and rules;Easy debugging of unexpected results;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Ability to mix procedural and hand-crafted content;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Essential,Building generators from programming primitives (maximum flexibility),Deep integration within existing engine (like Unreal Blueprint),Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Rectangular grid/tile-based;,Space-driven generation (spatial layout determines gameplay possibilities),Tool-based (AI enhances specific components of your manual design process);I prefer traditional rule-based PCG without AI involvement;,Speed of generation compared to traditional methods;Consistency with existing game assets and style;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Time savings compared to manual design;Ability to create more content variations with consistent quality;Improved iteration speed on level designs;,Create high quality content
106,5/26/25 21:00:43,5/26/25 21:09:06,anonymous,,,Academic/Researcher,10+ years,Unreal Engine;Custom in-house engine;,Extensive Experience,Extensive Experience,Limited Experience,Moderate Experience,Moderate Experience,Extensive Experience,"Mission/quest generation;Enemy/NPC placement;Level layout/structure generation;World building (terrain, vegetation, etc.);Behavior Generation, Narrative;",Always (essential part of workflow),Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;Integration with existing workflows;,"""Most PCG tools are built for programmers, not designers""","Documentation and learning resources;Reliability (predictable, stable results);Integration with existing workflows;","Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Visual previews of generation steps;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Very Interested,Very Interested,Very Interested,Not Interested,Not Interested,Very Interested,Interested,Very Interested,Node-based graphs (mission/flow graphs);Scene graph/hierarchical structure;Rectangular grid/tile-based;Constraint-based representations (is this a known term);Navigation mesh;Free-form geometry;Voxel-based;,Context-dependent (different approaches for different game sections),Full automation (AI generates complete levels with minimal input);Suggestion-based (AI proposes level designs for you to select and modify);,Maintaining creative control over the final output;Learning from my design preferences over time;,Unpredictable or inconsistent results;Difficulty integrating with existing tools/workflows;,Better integration with existing workflows;Learning resources and examples for different game genres;Ability to create more content variations with consistent quality;,Generating runtime based geometry that can also be generated in editor.
107,5/27/25 1:20:04,5/27/25 1:26:55,anonymous,,,Technical Artist,3-5 years,Unreal Engine;,Extensive Experience,Moderate Experience,No Experience,Limited Experience,Limited Experience,,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Always (essential part of workflow),Technical complexity/steep learning curve;Integration with existing workflows;Time investment to set up compared to potential benefits;,PCG is powerful but new and growing. ,Feature completeness (comprehensive capabilities);Documentation and learning resources;Integration with existing workflows;,"Control over generation constraints and rules;Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Runtime vs. offline generation options;Limited or no programming required;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Very Interested,Somewhat Interested,Somewhat Interested,Very Interested,Interested,Interested,Very Interested,Very Interested,Scene graph/hierarchical structure;Node-based graphs (mission/flow graphs);Navigation mesh;,Space-driven generation (spatial layout determines gameplay possibilities),Suggestion-based (AI proposes level designs for you to select and modify);Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;,Unpredictable or inconsistent results;Loss of designer agency/control;,Reduced technical barriers to procedural generation;Time savings compared to manual design;Ability to create more content variations with consistent quality;,Making tools accessible to users unlocks massive UGC potential.
108,5/27/25 6:11:12,5/27/25 6:23:08,anonymous,,,Game Designer,6-10 years,Unreal Engine;,No Experience,No Experience,Limited Experience,No Experience,Limited Experience,No Experience,I don't currently use procedural generation;,Rarely (a few projects),Difficulty in debugging unexpected outputs;Lack of precise artistic control;,My current role and activities require little to no PCG tool use though I am i terested in the subject,"Reliability (predictable, stable results);Documentation and learning resources;Readability/clarity. Things like proper tool tips and easy to understand nami g conventions.;","Control over generation constraints and rules;Visual previews of generation steps;Support for mission/gameplay integration;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Limited or no programming required;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Interested,Very Interested,Interested,Interested,Somewhat Interested,Interested,Interested,Very Interested,Rectangular grid/tile-based;,Balanced approach (iterative refinement between mission and space),Assistant-based (AI helps implement your design intentions);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Consistency with existing game assets and style;,Intellectual property/ownership concerns;Loss of designer agency/control;,Time savings compared to manual design;Improved iteration speed on level designs;Better integration with existing workflows;,Speed of iterations/testing with gameplay
109,5/27/25 7:27:45,5/27/25 7:37:35,anonymous,,,Programmer/Technical Designer,10+ years,Custom in-house engine;,Limited Experience,No Experience,Limited Experience,Limited Experience,Limited Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Mission/quest generation;Enemy/NPC placement;",Sometimes (about half of projects),Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;Technical complexity/steep learning curve;,"""Existing PCG tools are too limited in what they can generate""",Feature completeness (comprehensive capabilities);Performance;Flexibility (ability to adapt to various use cases);,"Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Easy debugging of unexpected results;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Standalone application that exports to game engines,Somewhat Interested,Somewhat Interested,Somewhat Interested,Interested,Somewhat Interested,Very Interested,Very Interested,Very Interested,Rectangular grid/tile-based;Free-form geometry;,Space-driven generation (spatial layout determines gameplay possibilities),Tool-based (AI enhances specific components of your manual design process);I prefer traditional rule-based PCG without AI involvement;,Novelty/uniqueness of the generated content;Maintaining creative control over the final output;,Intellectual property/ownership concerns;Unpredictable or inconsistent results;,Ability to create more content variations with consistent quality;Better integration with existing workflows;Community/marketplace of shareable generator components;,Make levels that fit well with the game.
110,5/27/25 10:42:11,5/27/25 10:53:34,anonymous,,,Programmer/Technical Designer,10+ years,Unreal Engine;Unity;Custom in-house engine;,No Experience,Limited Experience,No Experience,No Experience,Extensive Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Puzzle generation;",Always (essential part of workflow),Integration with existing workflows;Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;,"""PCG tools don't give me enough control over the final output""","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Feature completeness (comprehensive capabilities);","Runtime vs. offline generation options;Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Easy debugging of unexpected results;Visual previews of generation steps;Support for mission/gameplay integration;Limited or no programming required;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);",Essential,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Rectangular grid/tile-based;Hexagonal grid/tile-based;Free-form geometry;,Mission-driven generation (gameplay goals determine level structure),I prefer traditional rule-based PCG without AI involvement;,Understanding how the AI makes its decisions;Maintaining creative control over the final output;,"Intellectual property/ownership concerns;Potential ""black box"" nature (lack of transparency);",Improved iteration speed on level designs;Ability to create more content variations with consistent quality;Time savings compared to manual design;,Rich detailed worlds
111,5/27/25 18:24:54,5/27/25 18:30:17,anonymous,,,Environment Artist,0-2 years,Unreal Engine;,Moderate Experience,No Experience,Limited Experience,No Experience,No Experience,No Experience,"World building (terrain, vegetation, etc.);",Rarely (a few projects),Lack of precise artistic control;Difficulty in debugging unexpected outputs;,"""PCG tools are too complex to integrate into my workflow""",Familiarity (resemblance to tools you already know);Simplicity (low barrier to entry);Documentation and learning resources;,"Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Limited or no programming required;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Runtime vs. offline generation options;Support for mission/gameplay integration;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Interested,Somewhat Interested,Not Interested,Interested,Somewhat Interested,Not Interested,Not Interested,Somewhat Interested,Free-form geometry;Node-based graphs (mission/flow graphs);,Not sure/would need to experiment,Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;,Unpredictable or inconsistent results;Difficulty integrating with existing tools/workflows;,Ability to create more content variations with consistent quality;Improved iteration speed on level designs;Better integration with existing workflows;,
112,5/28/25 8:15:38,5/28/25 8:30:35,anonymous,,,Technical Artist,3-5 years,Unreal Engine;,Extensive Experience,Moderate Experience,Limited Experience,Limited Experience,Limited Experience,No Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Often (most projects),Lack of precise artistic control;Time investment to set up compared to potential benefits;Integration with existing workflows;,"""Existing PCG tools are too limited in what they can generate""",Flexibility (ability to adapt to various use cases);Integration with existing workflows;Feature completeness (comprehensive capabilities);,"Control over generation constraints and rules;Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Support for mission/gameplay integration;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Limited or no programming required;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Interested,Interested,Somewhat Interested,Very Interested,Somewhat Interested,Interested,Somewhat Interested,Interested,Rectangular grid/tile-based;Free-form geometry;Scene graph/hierarchical structure;,Space-driven generation (spatial layout determines gameplay possibilities),Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Speed of generation compared to traditional methods;,Loss of designer agency/control;Unpredictable or inconsistent results;,Time savings compared to manual design;Ability to create more content variations with consistent quality;Improved iteration speed on level designs;,Ability to properly modify by hand the results 
